tick,Analysts,Recommendation,Median,High,Low,Growth,Last
T,.,Hold,31.00,38.00,16.00.,4.10,29.78.
XOM,.,Hold,49.00,79.00,36.00.,8.70,45.08.
INFY,.,Buy,18.48,25.07,14.00.,5.98,17.44.
LUV,.,Buy,51.00,65.00,40.00.,7.17,47.59.
GRMN,.,Hold,120.00,124.00,105.00.,1.30,121.58.
UMC,.,Buy,7.68,10.68,4.46.,8.84,8.43.
CLX,.,Hold,225.00,268.00,174.00.,15.31,195.12.
HPQ,.,Hold,24.00,30.00,14.00.,5.47,25.39.
AMP,.,Buy,220.50,230.00,186.00.,9.66,201.07.
NIO,.,Buy,327.15,457.79,98.10.,511.50,53.50.
LI,..,Buy,.,258.54,394.93,139.98.,654.41
BEST,.,Buy,23.00,39.43,9.70.,1,064.43
TSLA,.,Hold,440.00,810.00,40.00.,44.54,793.39.
BIGC,..,Hold,.,90.00,132.00,57.00.,45.42
